Gender,Age,Height (in cms),Weight (in kgs),BMI,Hours on Learning,Hours on Extra-curricular,Hours on Sleep Hygiene,Using ChatGPT for Assessments,GPA
1,23,157,53,20.28,6,2,7,1,A
0,25,167,55,19.7,1,0.5,7,1,B+
1,23,167,68,24.4,3,1.5,6,0,A+
0,24,176,57,18.4,2.5,1,5,1,BC
1,21,157,40,16.2,1,1.5,9,1,B
0,24,160,65,25.3,6,3.5,8,1,A
1,22,158.4,50,14.6,4,5,7,1,B
0,22,166.5,52,18.86,2,1,6.5,1,AB
0,24,176,57,18.4,3,1,5,1,BC
0,24,180,65,20.1,1.5,2,6,1,B+
1,23,158.4,55,21.9,2,0,7,1,AB
1,22,152.4,60,25.86,1.5,2.5,7.5,1,A
1,22,151,47,20.6,2,3,6,1,BC
0,22,162,53,20.2,2,4,6,1,B-
0,25,167,55,19.7,1,0.5,7,1,B+
1,23,151.5,49,21.3,5,3,6,1,BC
1,23,149,50,22.5,4,2.5,6.5,1,B
1,21,147.32,53,24.4,4,1,6,1,B+
0,21,170.6,54,18.6,1,2,8.5,0,BC
1,22,161.544,52,19.93,2,1,8,1,C
0,22,180.34,80,24.5,0,4,8,1,B
1,24,160,58,22.7,3.5,5,5.5,1,BC
0,23,170,48,16.6,3,1,7,1,AB
0,21,142.24,54,26.7,3,2,8.5,1,B-
0,23,165,60,22,3,4,8,0,C
1,22,152.4,56,24.1,1,1,6,1,B-
0,23,170,65,22.5,4,1,5,1,C+
0,24,173.7,44,14.6,6.5,1.5,8,1,B+
0,22,171,62,20.7,1.5,2,6,1,BC
0,23,170,60,20.8,2,0,5.5,1,B
0,21,182.88,68,20.34,1,1.5,6,1,B-
0,22,179,64,20.3,1.5,3,6.5,1,B
1,21,155,39,16.2,1,1,7,1,B
1,22,157,53,21.6,0.5,1,6.5,1,B-
1,21,173,40,13.4,5,0,7,1,B+
1,23,152,45,19,1.5,1,6.5,0,BC
1,23,164,64,22,3.5,2,7,1,AB
1,21,154,40,16.87,4.5,1,6.5,1,B
0,25,168,80,29,1.5,0.5,8,0,B-
1,22,150,56,24.9,2,3,8,1,B-
0,22,168,55,19.5,3.5,3,5,0,B+
1,24,151,73,32.02,1,1.5,7,1,C+
0,24,179.8,65,20.1,5.5,4.5,4.5,1,A+
0,23,179.8,64,19.8,2.5,2,6,1,C-
0,21,157,55,22.3,1,1.5,8,1,B
0,22,162,60,22.9,2,2,8,1,AB
1,24,167,56,20.1,3,3,6.5,0,A
0,24,180,80,24.7,3,3,6.5,1,A-
0,22,174,55,18.2,2,1,7,1,C
1,22,134.6,59,32.56,2,1,6,1,B
1,22,154,70,24.2,3,3,8,1,B
0,22,169,60,21,2,1,5,1,BC
1,22,158,46,19.4,1.5,1,6,1,B
0,23,170,56,19.38,6,2,8,1,BC
0,23,181,80,25.3,1.5,2,6.5,1,BC
0,24,179.83,75,23.2,2.5,2,7,1,B-
1,23,152,39,16.8,0.5,2,6.5,1,B-
0,24,177.8,61,19.3,3,2,7,1,B
1,23,160,58,22.7,2,1,6,1,A+
0,22,175,50,16.3,2,1.5,7.5,1,B
0,23,154,55,23.2,7,2.5,7.5,1,B-
0,22,166,63,22.9,7,3,7,1,B-
0,23,154,60,25.3,4,4,8,1,B+
1,22,153,59,25.2,2,1,6.5,1,A
1,23,154,52,21.9,2.5,4,7,1,B-
1,22,146,56,19,6,1,6.5,1,B+
1,21,170.68,51,17.5,1,4,8,1,A
1,23,167.64,70,24.9,1,0.5,6,1,B-
1,22,168,77,27.3,3.5,4,6.5,1,A+
1,21,159,52,20.31,1,0.5,8.5,1,A
0,25,178,55,17.36,2,1,7,0,B
1,20,166,76,27.58,1.5,1,7,1,C
1,24,160,48,18.75,2,4,6.5,0,C
0,21,178,61,19.25,1,1,5.5,1,BC
0,24,174,57,18.83,4,2,6,1,B
1,21,174,72,23.78,2,3,8,0,BC
1,25,156,46,18.9,1,4,7,0,B+
0,25,182,42,12.68,3,5,6.5,0,C-
0,20,168,58,20.55,2,1,6,0,BC
1,20,161,62,23.92,0.5,3,6.5,1,A+
1,20,155,68,28.3,2,0.5,6,1,B-
0,25,179,77,24.03,4.5,2.5,6.5,1,B-
0,22,160,66,25.78,2,2,7,1,B
0,20,169,58,20.31,3.5,1,6,0,B-
1,23,173,41,13.7,4,1,6.5,1,B-
1,23,153,42,17.94,1.5,5,7,0,C
0,22,166,70,25.4,3.5,1,7,1,B
1,24,162,48,18.29,2,1.5,7,1,B
0,21,151,51,22.37,1,1,7,1,BC
0,23,175,42,13.71,3.5,4,7,1,B+
0,23,156,66,27.12,6,0.5,6,0,BC
1,25,161,76,29.32,2,1.5,8.5,0,C-
1,25,175,76,24.82,0,1.5,7,1,B+
1,24,172,50,16.9,1.5,2.5,7,1,B
0,21,176,57,18.4,3.5,0,8,0,B-
0,21,156,75,30.82,3,0.5,7,0,B-
0,24,162,41,15.62,1.5,1,7,0,C+
1,20,169,59,20.66,1.5,2,8,1,C
0,23,172,62,20.96,4,4,6,1,A+
1,24,155,39,16.23,5,1,8,0,AB
1,25,179,65,20.29,2.5,3.5,6,1,A
1,22,182,39,11.77,1,2.5,8,0,A
0,23,156,68,27.94,1.5,1,6,0,A+
1,23,164,41,15.24,3.5,4,8,1,B
1,21,175,69,22.53,1.5,1,5,0,B+
0,22,165,67,24.61,3,2,7,1,B-
1,25,166,46,16.69,2,4,5,0,B-
1,22,160,69,26.95,0,2,6.5,0,B
0,22,159,80,31.64,1,2,7,1,B-
1,22,162,77,29.34,2,1,5.5,1,A
0,23,178,75,23.67,1,4.5,7,0,A
1,23,164,40,14.87,4,1.5,6.5,1,B
0,21,160,64,25,4.5,3,6,1,A-
1,25,181,43,13.13,4,2.5,8.5,0,BC
0,25,180,52,16.05,3,1,6.5,0,AB
1,21,182,66,19.93,2,0,7,0,C-
1,25,160,45,17.58,1.5,1,6,1,B-
1,23,160,69,26.95,3.5,1,7,0,B+
0,21,175,74,24.16,1.5,3,5.5,0,B-
0,20,154,72,30.36,3,3,6.5,1,AB
1,21,151,77,33.77,1.5,0,7,0,B
1,25,163,57,21.45,5,4,5,1,A+
0,22,152,71,30.73,1.5,4,8,1,B+
0,24,174,39,12.88,3,3,8,0,B
1,24,160,47,18.36,3,3,9,0,B-
0,25,157,57,23.12,2,3,6,1,B-
1,22,162,66,25.15,5.5,4,8.5,1,B-
1,25,170,54,18.69,2,3,7,0,B-
0,22,170,69,23.88,4,0.5,5.5,1,B-
1,20,170,77,26.64,1,2,8,0,AB
1,20,167,66,23.67,1,1,7.5,0,A
0,20,173,68,22.72,1.5,1,6.5,0,A
1,21,155,41,17.07,1,4,6,1,AB
0,21,165,58,21.3,1,2,9,1,B
1,25,175,57,18.61,3,2,6.5,1,B
0,24,181,73,22.28,3.5,4,5,0,BC
1,24,167,48,17.21,1.5,1,5,1,B-
0,24,167,46,16.49,3.5,1.5,6,0,B-
1,20,169,52,18.21,0.5,2,7,1,B-
0,24,153,39,16.66,1,0.5,8,0,A+
0,20,171,52,17.78,1,1.5,7,0,C-
0,24,151,44,19.3,4,1.5,7,1,B+
0,20,180,65,20.06,1.5,1,7,1,B+
1,23,160,50,19.53,1,2,6.5,1,C
0,21,151,50,21.93,1,0.5,6.5,0,B
0,24,177,68,21.71,2,2,8,0,BC
0,21,160,68,26.56,0.5,0.5,6,0,B-
0,23,179,75,23.41,4,1.5,8,1,BC
0,25,162,65,24.77,1,1,9,1,B-
1,21,168,52,18.42,5,2,7,1,A
1,23,181,78,23.81,1.5,4,6,1,B-
1,23,176,40,12.91,1,0.5,7,1,B
0,22,178,56,17.67,5,5,6.5,0,BC
1,22,165,73,26.81,3,1,5,0,B
1,22,151,70,30.7,4,1,7.5,0,B-
1,22,154,60,25.3,2,3,6.5,0,C+
0,20,154,78,32.89,1,5,7,1,AB
0,21,156,68,27.94,6,1,8,1,B
1,25,175,56,18.29,2.5,0.5,6,1,B-
0,22,174,75,24.77,0.5,3,6,1,B-
1,24,162,59,22.48,4,3,6,1,B+
0,25,159,45,17.8,1.5,1,6,0,B-
0,23,155,65,27.06,2,3.5,8,0,A+
1,23,158,75,30.04,5,1,6.5,0,A
1,21,175,54,17.63,3.5,0.5,6,1,B-
1,21,175,74,24.16,2,4,6.5,0,C
0,23,156,75,30.82,2,2.5,6.5,0,BC
0,20,160,75,29.3,4.5,2,7.5,1,B+
0,20,179,70,21.85,7,5,7,0,A+
1,24,172,57,19.27,2,1,6.5,0,A
1,22,177,69,22.02,5.5,1,8,1,A+
1,21,180,45,13.89,1,2,6,1,B
0,21,171,42,14.36,5,1,6,1,AB
1,21,180,62,19.14,4,4,8,1,B-
1,25,160,41,16.02,3.5,4,6,1,A
0,23,152,54,23.37,0.5,3,5,1,C
0,23,176,57,18.4,2,4,7,1,B
0,23,153,63,26.91,2.5,3,7.5,1,B+
1,21,180,56,17.28,2.5,3,6.5,1,A
0,24,154,46,19.4,3.5,3,8,0,B-
0,20,180,60,18.52,6.5,4,6.5,1,A+
1,20,151,63,27.63,1,1,6.5,0,B
0,22,173,71,23.72,3,2,5,1,B
0,20,177,73,23.3,1,1,6,1,B-
1,20,160,59,23.05,2.5,3,8,1,B+
1,22,172,42,14.2,1,4,7,1,A+
1,23,179,52,16.23,1,3,8,0,A+
1,20,167,71,25.46,1,1,6,1,C
1,24,179,43,13.42,0,4,7,0,AB
0,20,164,46,17.1,1,3,6,1,A+
1,24,182,66,19.93,5,1,7,1,B+
0,24,151,39,17.1,3,2,6.5,1,AB
1,25,178,59,18.62,4,4,6.5,0,BC
0,22,153,51,21.79,3,2,6.5,0,B
1,20,173,65,21.72,2,1,8,0,B
0,20,181,52,15.87,1.5,4,7,1,B+
1,20,173,78,26.06,1.5,3.5,4.5,1,A+
1,22,159,74,29.27,2,3,6.5,0,C
1,23,152,50,21.64,1,1.5,5,0,B
0,25,159,56,22.15,3,2,6,0,AB
0,23,176,72,23.24,2.5,1,6.5,0,B-
1,23,154,56,23.61,3,2,7,0,B
0,21,181,57,17.4,1,2,7,0,B-
0,25,171,70,23.94,2,2.5,6,1,B+
1,21,177,58,18.51,3.5,1,5.5,1,B
1,21,162,43,16.38,7,3.5,6.5,1,B
1,24,166,72,26.13,1.5,1,7,0,B-
1,23,182,79,23.85,4.5,3,6,0,A
0,25,177,49,15.64,3,3,8,0,B-
0,24,160,56,21.88,1.5,2,6.5,1,B-
0,22,161,53,20.45,2,3,5.5,1,B-
1,22,178,44,13.89,3.5,4,6.5,0,A-
1,25,159,61,24.13,2,4,4.5,1,B-
0,22,181,63,19.23,1,2,6.5,1,B-
1,23,156,56,23.01,3,1.5,7.5,1,B-
1,25,156,61,25.07,2,5,8,1,B
1,22,155,52,21.64,2,3,5,1,B-
0,23,157,46,18.66,3,2,6,0,BC
0,21,173,73,24.39,2,1,7,0,BC
0,25,180,57,17.59,1.5,1,7,1,B+
1,20,159,42,16.61,2,1,8,1,B
1,21,163,45,16.94,4,1.5,5.5,1,B
0,24,173,47,15.7,5,1,7,0,B-
1,20,168,64,22.68,1.5,1,8,1,B
1,24,169,52,18.21,1,2,7,0,A
0,23,175,45,14.69,1.5,0.5,6.5,0,B
1,25,157,75,30.43,2,4.5,7,1,A
1,24,155,79,32.88,2,2,6,0,B
0,25,178,75,23.67,3,2,7,0,C+
1,23,151,61,26.75,3.5,4,8,1,B-
1,23,180,48,14.81,1,0,8,1,C+
0,25,157,55,22.31,4,3,6,1,B
0,20,172,41,13.86,6,2,6,0,A+
0,25,176,49,15.82,5,2,5.5,1,A
1,24,156,49,20.13,3,1,6,0,B
1,20,160,75,29.3,4,4,5.5,0,A+
1,23,154,43,18.13,1.5,4,7.5,0,B-
1,23,180,46,14.2,7,2,6.5,0,B
1,24,165,78,28.65,6,1,7,0,B
1,25,171,74,25.31,3.5,0,6.5,0,B-
0,25,181,78,23.81,7,1,7,0,B+
0,21,170,70,24.22,1,2,6.5,1,C
0,25,166,78,28.31,3.5,1,7.5,1,A
1,21,153,57,24.35,2.5,1,6,0,BC
0,21,155,42,17.48,6,1,8,0,B+
1,25,157,53,21.5,6.5,2,5.5,0,A+
1,22,162,49,18.67,2,3,7.5,1,B+
0,24,170,72,24.91,6,1.5,8,0,B-
0,20,180,76,23.46,1.5,1.5,6.5,0,B+
1,22,174,66,21.8,1.5,0.5,7,0,BC
0,22,151,44,19.3,3.5,0,8,1,C
0,23,181,50,15.26,2,5,7,1,B+
0,25,174,64,21.14,3,0.5,7,1,C+
1,24,178,40,12.62,6,4,8,0,B
0,25,171,75,25.65,6,1,8.5,0,B+
1,24,177,74,23.62,3.5,1,8,1,B
0,21,174,43,14.2,3,1,6.5,1,B
1,20,164,72,26.77,7,2,6.5,0,B
1,25,166,57,20.69,3,2,6,0,B+
0,25,177,52,16.6,5,3,6.5,1,B
1,21,151,62,27.19,1,4,6,0,B-
0,20,174,75,24.77,0,0,8,0,A+
0,21,182,60,18.11,3,1.5,6,1,B
1,25,156,79,32.46,5.5,0,7.5,1,AB
1,22,170,59,20.42,2,3,7,0,A-
0,25,155,49,20.4,2,1,6.5,1,B+
0,20,152,49,21.21,3,4,6.5,1,AB
0,25,163,72,27.1,0.5,0.5,6,1,BC
0,25,173,63,21.05,2.5,1.5,8,0,B-
1,22,175,46,15.02,2,0,6.5,1,B-
1,24,163,68,25.59,1,1,7,0,B
0,22,165,68,24.98,4,1,8,1,BC
1,21,176,67,21.63,1,1,4.5,1,A+
1,20,176,46,14.85,0.5,1,6.5,1,B-
0,20,162,67,25.53,5.5,1,7,1,B+
0,23,154,79,33.31,1,1,8,0,B-
0,23,161,55,21.22,1.5,3,6,1,C+
0,25,170,71,24.57,0.5,3,7,1,B-
0,23,175,56,18.29,1,1,6.5,1,C
0,23,178,67,21.15,2,4,7,1,B+
1,21,174,70,23.12,0,3,7.5,0,B+
1,24,172,45,15.21,2.5,1,5.5,1,B
1,21,163,39,14.68,2,1.5,8,1,B-
0,21,180,57,17.59,5,1,7,0,C+
0,24,151,71,31.14,3,4,7,0,AB
0,20,175,57,18.61,3,2,6.5,1,B-
0,25,173,56,18.71,3.5,3,8,0,A
0,23,179,66,20.6,5.5,3,8,1,BC
1,20,152,41,17.75,2,1,6,0,B-
0,21,158,58,23.23,2.5,1,6,0,BC
0,23,161,51,19.68,3,1.5,6.5,0,BC
1,24,160,76,29.69,3,4.5,7,0,A
0,21,176,71,22.92,3,1,6,0,A
1,25,181,40,12.21,3.5,1,6.5,0,AB
1,25,162,39,14.86,2,1,8,0,A+
0,25,163,47,17.69,3.5,1,6.5,1,B
1,20,182,68,20.53,3,3,6.5,1,B-
1,24,180,41,12.65,1,2.5,6.5,1,C
0,25,165,71,26.08,4,1,8,1,A+
0,22,165,72,26.45,5.5,4,6,1,B
1,20,173,41,13.7,3.5,1,6.5,1,BC
0,24,154,55,23.19,3,0.5,6.5,0,B-
1,25,173,42,14.03,2,2,7,1,B+
0,20,165,45,16.53,6,2.5,7,1,B
0,22,176,67,21.63,7,3,8,1,A+
1,20,161,75,28.93,2.5,5,8.5,0,B-
1,21,176,65,20.98,6,5,6,0,A+
0,24,166,75,27.22,1,1.5,6.5,0,B+
1,22,155,49,20.4,1,2,6,0,BC
1,24,152,72,31.16,1.5,1.5,7.5,1,AB
1,20,182,50,15.09,5,3,7.5,1,B+
1,21,161,42,16.2,1.5,1,5,0,A
1,24,163,76,28.6,2,2,6.5,1,BC
1,20,174,45,14.86,1.5,3,6,1,B+
0,25,181,64,19.54,0.5,3.5,6,1,BC
1,22,177,43,13.73,6.5,2,6.5,0,BC
1,20,169,55,19.26,2,1,8,0,B
1,21,162,74,28.2,3,4,6,0,B
0,21,175,44,14.37,2,4,6.5,0,A+
0,25,172,57,19.27,3,3,6,0,B
1,24,167,48,17.21,1,2,7,0,A
0,25,156,68,27.94,3.5,4,8,0,BC
1,22,156,68,27.94,7,2,7,0,B-
0,20,167,42,15.06,1.5,1.5,5,1,A
1,24,152,68,29.43,2.5,4,6,0,B+
0,24,168,52,18.42,3,1,7,1,B
0,23,163,74,27.85,5.5,3,6,1,B+
1,22,178,45,14.2,3.5,1,8,0,AB
0,20,154,54,22.77,7,0.5,8,1,B-
1,22,165,40,14.69,3,2,6.5,1,B
0,23,151,55,24.12,2,1.5,8,1,BC
1,20,182,52,15.7,2,1,7,0,B+
1,24,169,55,19.26,3.5,3.5,8,1,B
0,20,154,41,17.29,6,4,7.5,1,AB
0,21,155,40,16.65,3,1.5,7,1,A+
1,23,155,41,17.07,1.5,0,7,1,BC
1,23,153,61,26.06,2,2,4.5,0,B
1,24,180,51,15.74,7,3.5,6,0,B-
0,21,173,62,20.72,6,2,7,0,C
0,20,159,41,16.22,1.5,1,6.5,0,A+
0,20,169,61,21.36,0.5,1,9,0,B-
0,22,160,74,28.91,3.5,3,8,1,BC
1,22,176,57,18.4,2.5,4,7.5,1,AB
0,20,168,48,17.01,1.5,5,8,1,A+
1,22,173,78,26.06,4,1.5,8,0,B
1,21,169,43,15.06,2,4,6.5,0,C
1,20,163,44,16.56,7,3,7,0,C
1,22,152,44,19.04,2,2,6,1,B-
0,25,161,61,23.53,3,1,6.5,0,AB
0,25,171,44,15.05,5,4,5,1,BC
0,22,164,56,20.82,1.5,3,7,0,A
0,21,170,77,26.64,2.5,2,6.5,1,AB
1,23,173,56,18.71,3,1,7,1,BC
1,22,152,66,28.57,1,4,8,1,B
0,25,175,65,21.22,2,1,7.5,0,B-
0,22,178,52,16.41,1,3,6.5,0,B+
0,22,165,50,18.37,3.5,1,7.5,1,A
1,25,163,42,15.81,1,4,6.5,0,B
0,21,165,39,14.33,3,1,6,1,B
1,25,162,80,30.48,3,0,7,0,BC
0,21,159,44,17.4,5,3,8,0,C
1,21,177,40,12.77,2.5,3,6.5,0,B-
1,24,170,59,20.42,1.5,2,8,1,C
1,23,161,54,20.83,1.5,2,8,1,A
0,21,158,43,17.22,4.5,2,6,0,B+
1,22,176,72,23.24,2,1,6,0,B-
1,24,163,65,24.46,2,1,6,1,B
0,25,177,43,13.73,2,1.5,7,1,B
0,24,152,77,33.33,1,4,6.5,1,B
1,22,156,50,20.55,7,0,8.5,0,A+
0,21,164,39,14.5,3,2,9,1,B-
0,21,157,79,32.05,2,2,8.5,0,A
0,23,166,57,20.69,3,1.5,6,1,A+
0,23,170,54,18.69,5.5,1,7.5,0,B
1,20,168,66,23.38,3,4,8.5,1,B+
1,23,176,65,20.98,3.5,1.5,8,1,BC
1,24,158,62,24.84,1.5,0,8,1,B
1,24,178,69,21.78,2,5,5,1,A+
1,24,158,77,30.84,3,1.5,6.5,1,B+
1,22,179,42,13.11,2,0.5,7,0,B+
0,20,173,57,19.05,7,4,6,0,A+
0,25,151,68,29.82,0,1,8,0,B-
0,21,152,67,29,6,3,5.5,1,C
1,23,166,54,19.6,4,1,8,1,B+
0,23,154,62,26.14,1.5,1,6,0,B+
0,23,179,74,23.1,1.5,1,5.5,0,A
0,24,156,72,29.59,1,3,6.5,1,BC
0,22,158,48,19.23,1,1,4.5,1,B
0,20,159,79,31.25,3,2.5,6.5,1,B-
1,25,163,46,17.31,1,3,8,0,B
1,24,174,80,26.42,7,0.5,7,0,B-
0,25,166,62,22.5,1,1.5,6.5,1,A
1,22,181,66,20.15,4,0.5,7,1,A
1,22,167,51,18.29,2,1,7,0,A+
1,24,157,68,27.59,2,2,7,0,BC
1,25,157,44,17.85,1.5,0.5,6.5,1,B-
1,23,179,43,13.42,1.5,2,6,0,B+
0,24,164,41,15.24,3,1,8,1,B-
1,24,173,67,22.39,3.5,4,6.5,0,BC
1,21,152,59,25.54,6,1.5,8,1,A
1,21,164,51,18.96,6,4,6.5,1,AB
1,21,163,46,17.31,3.5,0.5,5,1,BC
1,21,159,70,27.69,3,3,7,1,C
0,20,169,57,19.96,1,0,7,1,B
0,22,179,67,20.91,1.5,4,7,0,C
1,23,154,72,30.36,6,1.5,7,0,A
0,20,171,55,18.81,3,3,7,0,B
0,22,172,43,14.53,1.5,2,5,0,B-
1,25,151,46,20.17,2.5,3,6,1,B-
1,23,166,63,22.86,1.5,4,6.5,0,A
0,22,155,67,27.89,5.5,0,7,0,C-
0,23,167,59,21.16,0.5,2,6,1,BC
0,24,178,59,18.62,1,4,7.5,0,A
1,23,156,63,25.89,0,3,6,0,B-
1,25,159,62,24.52,4.5,2,9,1,B-
1,21,168,40,14.17,3,1,6.5,0,C+
1,22,178,42,13.26,3.5,1.5,6,1,B-
1,22,166,76,27.58,1,2,5,0,B
1,23,151,61,26.75,3,1,5,0,C
1,23,156,55,22.6,2,1.5,9,1,BC
0,25,170,62,21.45,1,0.5,6,1,C
1,22,172,48,16.22,2,0,6,1,B
0,25,165,70,25.71,2,1,7,1,BC
0,21,156,41,16.85,1,0.5,7,1,BC
1,24,160,75,29.3,3,0,8,0,BC
0,21,166,65,23.59,3,1,8,0,B
0,24,178,77,24.3,1.5,2,8,0,B+
1,20,155,77,32.05,2.5,1,7,1,B
0,22,179,46,14.36,2,1,8,1,BC
1,22,179,40,12.48,1,2.5,8,0,B
0,25,178,58,18.31,2,1,7,1,B+
1,22,161,44,16.97,4,5,6,1,BC
1,22,173,49,16.37,0,1,7,0,BC
1,25,182,56,16.91,7,1.5,6,0,B+
0,22,168,61,21.61,1.5,3,7,0,B-
0,23,180,78,24.07,2,2,6,0,BC
0,23,179,77,24.03,1.5,2,6.5,1,AB
0,25,174,73,24.11,1,4,6.5,0,B
0,20,158,47,18.83,3,1,6.5,1,AB
1,23,160,48,18.75,4,0,9,1,B
0,21,173,76,25.39,2,1,8,1,B-
0,21,154,72,30.36,3,1.5,8,0,B-
0,22,174,80,26.42,1,2,5,0,B
0,21,160,56,21.88,2,0,6,0,B-
1,25,161,67,25.85,2,2.5,6.5,0,B
0,20,158,78,31.24,2,1,4.5,1,B-
1,21,164,49,18.22,4,2,6.5,0,A
1,23,178,69,21.78,1,1,6.5,0,B-
1,22,170,68,23.53,2,1,4.5,0,BC
1,21,156,68,27.94,4,4,6,1,B+
0,20,151,47,20.61,6.5,2,6,0,AB
0,23,166,40,14.52,5.5,5,7,1,B-
0,21,166,53,19.23,1,3,5,0,BC
1,20,151,66,28.95,1,3,4.5,1,A
0,21,159,39,15.43,1.5,3,8,1,B-
1,23,161,39,15.05,2,0.5,7,1,BC
1,24,178,61,19.25,4,0,8.5,1,B-
1,23,151,72,31.58,1.5,3,4.5,0,B
1,22,157,53,21.5,2,1,6.5,0,C
0,23,161,47,18.13,5,2,7,0,BC
0,23,176,42,13.56,1,1.5,9,0,A
1,24,172,72,24.34,1.5,1,6.5,1,BC
